               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 103,            0.098841,            0.067871,           0.0099078,             0.49798,             0.32985,              0.3389,             0.14126,            0.093728,             0.13013,            0.013274,            0.006634,            0.006634,            0.006634
                 104,            0.098467,             0.06782,           0.0098347,             0.48171,             0.33638,             0.33834,             0.14087,            0.093738,             0.13021,            0.013285,            0.006601,            0.006601,            0.006601
                 105,            0.098344,            0.067909,           0.0098497,             0.49789,              0.3317,             0.33781,             0.14088,            0.093735,             0.13031,            0.013277,            0.006568,            0.006568,            0.006568
                 106,            0.098312,            0.068387,           0.0096066,             0.49335,             0.33214,             0.33823,             0.14095,            0.093677,             0.13034,            0.013246,            0.006535,            0.006535,            0.006535
                 107,            0.098072,            0.067068,           0.0096228,             0.50205,             0.32868,             0.33844,             0.14112,            0.093623,             0.13032,            0.013218,            0.006502,            0.006502,            0.006502
                 108,             0.09837,            0.067456,           0.0095599,              0.5009,             0.33003,             0.34073,             0.14253,            0.093592,             0.13022,            0.013192,            0.006469,            0.006469,            0.006469
                 109,             0.09817,            0.068455,           0.0096098,             0.51846,             0.32707,             0.34119,             0.14271,            0.093572,             0.13023,            0.013203,            0.006436,            0.006436,            0.006436
                 110,            0.097844,            0.067802,           0.0095644,             0.52468,             0.32553,             0.34031,             0.14268,            0.093542,             0.13022,            0.013165,            0.006403,            0.006403,            0.006403
                 111,            0.097571,             0.06787,           0.0095441,             0.51517,             0.33202,             0.34223,             0.14399,            0.093516,             0.13018,            0.013193,             0.00637,             0.00637,             0.00637
                 112,            0.097298,            0.067702,           0.0096039,             0.51025,             0.33621,             0.34454,             0.14485,            0.093487,             0.13014,            0.013197,            0.006337,            0.006337,            0.006337
                 113,            0.097729,            0.068148,           0.0093009,             0.52122,             0.33527,             0.34526,             0.14521,            0.093462,             0.13019,            0.013216,            0.006304,            0.006304,            0.006304
                 114,            0.097663,            0.067118,           0.0093563,             0.51987,             0.33418,             0.34399,             0.14503,            0.093454,             0.13027,            0.013243,            0.006271,            0.006271,            0.006271
                 115,            0.097929,            0.067642,           0.0093787,             0.50385,              0.3379,             0.34243,             0.14462,            0.093439,             0.13038,            0.013257,            0.006238,            0.006238,            0.006238
                 116,             0.09743,            0.067036,            0.009315,             0.50909,             0.33539,             0.34117,             0.14423,            0.093443,             0.13055,            0.013287,            0.006205,            0.006205,            0.006205
                 117,            0.097665,            0.067714,           0.0094427,               0.508,             0.33342,             0.33968,             0.14412,            0.093445,             0.13062,            0.013291,            0.006172,            0.006172,            0.006172
                 118,            0.097709,            0.067534,           0.0092476,             0.50912,              0.3345,             0.33983,             0.14395,            0.093433,             0.13066,            0.013292,            0.006139,            0.006139,            0.006139
                 119,            0.097525,            0.067384,           0.0092265,             0.51097,             0.33608,             0.34022,             0.14431,            0.093423,             0.13063,            0.013284,            0.006106,            0.006106,            0.006106
                 120,            0.096935,            0.066911,           0.0091056,             0.50498,             0.33857,              0.3426,             0.14484,            0.093411,             0.13067,            0.013275,            0.006073,            0.006073,            0.006073
                 121,            0.096986,             0.06649,           0.0092395,             0.51513,             0.33526,             0.34117,             0.14488,            0.093398,             0.13067,            0.013278,             0.00604,             0.00604,             0.00604
                 122,             0.09765,            0.067424,           0.0091248,             0.51245,             0.33703,             0.34285,             0.14537,            0.093393,             0.13071,            0.013292,            0.006007,            0.006007,            0.006007
